law_act_id,paragraph_id,text
6518381,6519453,"Hujjatga taklif yuborish Audioni tinglash Hujjat elementidan havola olish 1-modda. Ushbu Qonunning maqsadi Ushbu Qonunning maqsadi tovar yoki moliya bozorlarida raqobatning cheklanishiga, shuningdek raqobat yoki tabiiy monopoliya sharoitlarida iste’molchilarning huquqlari va qonuniy manfaatlari kamsitilishiga olib keladigan yoki olib kelishi mumkin bo‘lgan harakatlarni nazorat qilishni amalga oshirish hamda ularga chek qo‘yish bilan bog‘liq bo‘lgan, raqobat sohasidagi munosabatlarni tartibga solishdan iborat. Hujjatga taklif yuborish Audioni tinglash Hujjat elementidan havola olish 2-modda. Raqobat to‘g‘risidagi qonunchilik Raqobat to‘g‘risidagi qonunchilik ushbu Qonun va boshqa qonunchilik hujjatlaridan iboratdir. Agar O‘zbekiston Respublikasining xalqaro shartnomasida O‘zbekiston Respublikasining raqobat to‘g‘risidagi qonunchiligida nazarda tutilganidan boshqacha qoidalar belgilangan bo‘lsa, xalqaro shartnoma qoidalari qo‘llaniladi."
6518381,6519472,"3-modda. Ushbu Qonunning qo‘llanilish sohasi Ushbu Qonun jismoniy va yuridik shaxslarning, shu jumladan davlat organlarining O‘zbekiston Respublikasi hududida va (yoki) undan tashqarida sodir etiladigan, O‘zbekiston Respublikasidagi tovar yoki moliya bozorida raqobatning cheklanishiga, shuningdek raqobat yoki tabiiy monopoliya sharoitlarida iste’molchilarning huquqlari va qonuniy manfaatlari kamsitilishiga olib keladigan yoki olib kelishi mumkin bo‘lgan harakatlariga (harakatsizligiga) nisbatan tatbiq etiladi. Ushbu Qonun intellektual mulk obyektlariga bo‘lgan mutlaq huquqlar bilan bog‘liq munosabatlarga nisbatan tatbiq etilmaydi. 4-modda. Asosiy tushunchalar Ushbu Qonunda quyidagi asosiy tushunchalar qo‘llaniladi: xo‘jalik faoliyatini amalga oshiradigan, ustav fondidagi (ustav kapitalidagi) davlat ulushi miqdori 25 foizdan ortiq bo‘lgan yuridik shaxs, shuningdek o‘ziga xo‘jalik faoliyatini amalga oshirish huquqi berilgan davlat muassasasi; ustav fondining (ustav kapitalining) 20 foizi va undan ortig‘i bevosita yoxud bilvosita davlat ishtirokidagi korxonalarga tegishli bo‘lgan yuridik shaxslar;"
6518381,6519487,"— xo‘jalik yurituvchi subyektning yoki shaxslar guruhining iqtisodiy faoliyatni amalga oshirishda afzalliklarga ega bo‘lishga qaratilgan, qonunchilikka, ish muomalasi odatlariga zid bo‘lgan hamda boshqa xo‘jalik yurituvchi subyektlarga (raqobatchilarga) zarar yetkazadigan yoki zarar yetkazishi mumkin bo‘lgan yoxud ularning ishchanlik obro‘siga putur yetkazadigan yoki putur yetkazishi mumkin bo‘lgan harakatlari; — xo‘jalik yurituvchi subyektdan tovarni oluvchi, tovarga buyurtma beruvchi yoxud tovarni olish yoki unga buyurtma berish niyatida bo‘lgan jismoniy yoki yuridik shaxs; — xo‘jalik yurituvchi subyektning yoki shaxslar guruhining ustunligiga olib keladigan, tovar yoki moliya bozorida raqobatning holatiga ta’sir ko‘rsatadigan bitimlar tuzish va (yoki) boshqa harakatlarni bajarish;"
6518381,6519492,"tovar yoki moliya bozoriga kirish, tovarni ishlab chiqarish, iste’mol qilish, olish, realizatsiya qilish yoki o‘zgacha tarzda boshqa shaxsga o‘tkazish shart-sharoitlari bo‘lib, ular boshqa teng shart-sharoitlarda bitta yoki bir nechta xo‘jalik yurituvchi subyektni o‘zga xo‘jalik yurituvchi subyektga (raqobatchiga) nisbatan teng bo‘lmagan holatga solib qo‘yadi;"
6518381,6519493,"— banklar, kredit, sug‘urta va boshqa moliya tashkilotlari tomonidan ko‘rsatiladigan moliyaviy xizmatning, shuningdek qimmatli qog‘ozlar bozori professional ishtirokchilari xizmatlarining O‘zbekiston Respublikasi hududidagi yoki uning bir qismidagi muomalasi doirasi bo‘lib, u O‘zbekiston Respublikasining ma’muriy-hududiy tuzilishiga mos kelmasligi mumkin va mazkur muomala doirasi chegaralarida bunday xizmatlarni ko‘rsatish imkoniyati mavjud bo‘ladi;"
6518381,6519495,"— ikki yoki undan ortiq xo‘jalik yurituvchi subyektlarning ulardan har birining manfaatlarini qanoatlantiradigan, birining harakatlari boshqasiga ma’lum bo‘lgan yoki ulardan har birining harakatlaridan kelib chiqqan holda bajariladigan, raqobatni cheklaydigan yoxud cheklashga va (yoki) raqobat sharoitlarida iste’molchilarning huquqlari hamda qonuniy manfaatlari kamsitilishiga olib kelishi mumkin bo‘lgan o‘zaro kelishilmagan harakatlari;"
6518381,6519497,"— xo‘jalik yurituvchi subyektlarning (raqobatchilarning) musobaqalashuvi bo‘lib, bunda ularning mustaqil harakatlari ulardan har birining tovar yoki moliya bozoridagi tovar muomalasining umumiy shart-sharoitlariga bir tomonlama tartibda ta’sir ko‘rsatish imkoniyatini istisno etadi yoki cheklaydi; raqamli mahsulotlardan Internet jahon axborot tarmog‘i orqali haq evaziga yoki bepul foydalanilishini ta’minlovchi axborot tizimi; — tovar bozorining holati bo‘lib, unda texnologik o‘ziga xos xususiyatlar tufayli tovarlarning muayyan turiga bo‘lgan talabni qanoatlantirishning raqobatli sharoitlarini yaratish mumkin emas yoki iqtisodiy jihatdan maqsadga muvofiq bo‘lmaydi; — tabiiy monopoliya sharoitlarida tovarlarni ishlab chiqarish va (yoki) realizatsiya qilish bo‘yicha faoliyatni asosiy faoliyat turi sifatida amalga oshiradigan xo‘jalik yurituvchi subyekt yoki shaxslar guruhi; — faoliyatning olish va realizatsiya qilish uchun mo‘ljallangan mahsuli, shu jumladan ishlar va xizmatlar;"
6518381,6519507,"— tovarning, shu jumladan bir-birining o‘rnini bosadigan tovarning (o‘zining belgilangan maqsadi, qo‘llanilishi, sifati va texnik xususiyatlari, narxi hamda boshqa ko‘rsatkichlari bo‘yicha taqqoslanishi mumkin bo‘lgan, iste’molchi almashtirishga tayyor bo‘lgan tovarning) O‘zbekiston Respublikasi hududidagi yoki uning bir qismidagi muomalasi doirasi bo‘lib, u O‘zbekiston Respublikasining ma’muriy-hududiy tuzilishiga mos kelmasligi mumkin va mazkur muomala doirasi chegaralarida tovarni olish yoki realizatsiya qilish imkoniyati mavjud bo‘ladi;"
6518381,6519509,"— tovarlarni ishlab chiqarish, olish va realizatsiya qilish bo‘yicha faoliyat bilan shug‘ullanuvchi yuridik shaxs, shu jumladan davlat ishtirokidagi korxona va xo‘jalik faoliyati bilan shug‘ullanuvchi muassasa, yuridik shaxs tashkil etmasdan tadbirkorlik faoliyatini amalga oshiruvchi jismoniy shaxs. 5-modda. Raqobat sohasidagi asosiy prinsiplar Raqobat sohasidagi asosiy prinsiplar quyidagilardan iborat: insofli raqobat; qonuniylik; iste’molchilar huquqlari va qonuniy manfaatlarining ustuvorligi; shaffoflik; tenglik. 6-modda. Raqobat sohasidagi davlat siyosatining asosiy yo‘nalishlari Raqobat sohasidagi davlat siyosatining asosiy yo‘nalishlari quyidagilardan iborat: iste’molchilarning huquqlari va qonuniy manfaatlari ustuvorligini inobatga olgan holda raqobatni himoya qilish, raqobatga qarshi harakatlarning oldini olish va ularni to‘xtatish; jamiyatda raqobatga qarshi har qanday xatti-harakatlarga nisbatan murosasizlikni shakllantirish; raqobat muhitini rivojlantirish hamda tovar va moliya bozorlarining samarali faoliyat ko‘rsatishi uchun shart-sharoitlar yaratish; tovar va moliya bozorlari ishtirokchilarining iqtisodiy faoliyati erkinligini hamda tovarlarning erkin harakatlanishini ta’minlash; tabiiy monopoliyalar subyektlari faoliyatni amalga oshiradigan sohalarda raqobat muhitini shakllantirish; tovar va moliya bozorlarining ishtirokchilari uchun teng shart-sharoitlarni belgilash hamda davlatning iqtisodiyotdagi ishtirokini qisqartirish; raqobat muhitini yaxshilash va rivojlantirish uchun respublika ijro etuvchi hokimiyat organlarining javobgarligini oshirish. 7-modda. Raqobat sohasidagi vakolatli davlat organi va uning faoliyatini moliyalashtirish manbalari O‘zbekiston Respublikasi Raqobatni rivojlantirish va iste’molchilar huquqlarini himoya qilish qo‘mitasi raqobat sohasidagi vakolatli davlat organi (monopoliyaga qarshi organ) hisoblanadi (bundan buyon matnda vakolatli davlat organi deb yuritiladi)."
6518381,6519532,"Vakolatli davlat organi o‘z faoliyatida bevosita O‘zbekiston Respublikasi Prezidentiga va O‘zbekiston Respublikasi Oliy Majlisining Senatiga hisobdor bo‘lib, u o‘z faoliyatini davlat organlari, boshqa tashkilotlar va mansabdor shaxslardan mustaqil ravishda amalga oshiradi. Vakolatli davlat organining markaziy apparati va hududiy organlari faoliyatini moliyalashtirish O‘zbekiston Respublikasi Davlat budjetining mablag‘lari hamda qonunchilikda taqiqlanmagan boshqa manbalar hisobidan amalga oshiriladi."
