law_act_id,paragraph_id,text
6445145,6448997,"Biz, O‘zbekistonning yagona xalqi, inson huquq va erkinliklariga, milliy va umuminsoniy qadriyatlarga, davlat suvereniteti prinsiplariga sodiqligimizni tantanali ravishda e’lon qilib, demokratiya, erkinlik va tenglik, ijtimoiy adolat va birdamlik g‘oyalariga sadoqatimizni namoyon qilib, inson, uning hayoti, erkinligi, sha’ni va qadr-qimmati oliy qadriyat hisoblanadigan insonparvar demokratik davlatni, ochiq va adolatli jamiyatni barpo etish borasida hozirgi va kelajak avlodlar oldidagi yuksak mas’uliyatimizni anglagan holda, davlatchiligimiz rivojining uch ming yildan ziyod tarixiy tajribasiga, shuningdek jahon sivilizatsiyasiga beqiyos hissa qo‘shgan buyuk ajdodlarimizning ilmiy, madaniy va ma’naviy merosiga tayanib, mamlakatimizning bebaho tabiiy boyliklarini ko‘paytirishga hamda hozirgi va kelajak avlodlar uchun asrab-avaylashga hamda atrof-muhit musaffoligini saqlashga astoydil ahd qilib, xalqaro huquqning umume’tirof etilgan prinsip va normalariga asoslangan holda, O‘zbekistonning jahon hamjamiyati, eng avvalo, qo‘shni davlatlar bilan do‘stona munosabatlarini hamkorlik, o‘zaro qo‘llab-quvvatlash, tinchlik va totuvlik asosida mustahkamlash hamda rivojlantirishga intilib, fuqarolarning munosib hayot kechirishini, millatlararo va konfessiyalararo totuvlikni, ko‘p millatli jonajon O‘zbekistonimizning farovonligini va gullab-yashnashini ta’minlashni maqsad qilgan holda, ushbu Konstitutsiyani qabul qilamiz va e’lon qilamiz. 1-modda. O‘zbekiston — boshqaruvning respublika shakliga ega bo‘lgan suveren, demokratik, huquqiy, ijtimoiy va dunyoviy davlat. Davlatning “O‘zbekiston Respublikasi” va “O‘zbekiston” degan nomlari bir ma’noni anglatadi. 2-modda. Davlat xalq irodasini ifoda etib, uning manfaatlariga xizmat qiladi. Davlat organlari va mansabdor shaxslar jamiyat va fuqarolar oldida mas’uldirlar. 3-modda. O‘zbekiston Respublikasi o‘zining milliy-davlat va ma’muriy-hududiy tuzilishini, davlat hokimiyati organlarining tizimini belgilaydi, ichki va tashqi siyosatini amalga oshiradi. O‘zbekistonning davlat chegarasi va hududi daxlsiz va bo‘linmasdir. 4-modda. O‘zbekiston Respublikasining davlat tili o‘zbek tilidir. O‘zbekiston Respublikasi o‘z hududida istiqomat qiluvchi millat va elatlarning tillari, urf-odatlari va an’analari hurmat qilinishini ta’minlaydi, ularning rivojlanishi uchun sharoit yaratadi. 5-modda. O‘zbekiston Respublikasi qonun bilan tasdiqlanadigan o‘z davlat ramzlari — bayrog‘i, gerbi va madhiyasiga ega. Davlat ramzlari davlat himoyasidadir. 6-modda. O‘zbekiston Respublikasining poytaxti — Toshkent shahri. 7-modda. Xalq davlat hokimiyatining birdan-bir manbaidir. O‘zbekiston Respublikasida davlat hokimiyati xalq manfaatlarini ko‘zlab va O‘zbekiston Respublikasi Konstitutsiyasi hamda uning asosida qabul qilingan qonunlar vakolat bergan organlar tomonidangina amalga oshiriladi."
6445145,6445223,"Konstitutsiyada nazarda tutilmagan tartibda davlat hokimiyati vakolatlarini o‘zlashtirish, hokimiyat organlari faoliyatini to‘xtatib qo‘yish yoki tugatish, hokimiyatning yangi va muvoziy tarkiblarini tuzish Konstitutsiyaga xilof hisoblanadi va qonunga binoan javobgarlikka tortishga asos bo‘ladi. 8-modda. O‘zbekiston xalqini millatidan qat’i nazar, O‘zbekiston Respublikasining fuqarolari tashkil etadi. 9-modda. Jamiyat va davlat hayotining eng muhim masalalari xalq muhokamasiga taqdim etiladi, umumxalq ovoziga — referendumga qo‘yiladi. O‘zbekiston Respublikasida referendum o‘tkazish tartibi qonun bilan belgilanadi. 10-modda. O‘zbekiston xalqi nomidan faqat u saylagan O‘zbekiston Respublikasi Oliy Majlisi va Prezidenti ish olib borishi mumkin. Jamiyatning biron-bir qismi, siyosiy partiya, jamoat birlashmasi, ijtimoiy harakat yoki alohida shaxs O‘zbekiston xalqi nomidan ish olib borishga haqli emas. 11-modda. O‘zbekiston Respublikasi davlat hokimiyatining tizimi — hokimiyatning qonun chiqaruvchi, ijro etuvchi va sud hokimiyatiga bo‘linishi prinsipiga asoslanadi. 12-modda. O‘zbekiston Respublikasida ijtimoiy hayot siyosiy institutlar, mafkuralar va fikrlarning xilma-xilligi asosida rivojlanadi. Hech qaysi mafkura davlat mafkurasi sifatida o‘rnatilishi mumkin emas. 13-modda. O‘zbekiston Respublikasida demokratiya umuminsoniy prinsiplarga asoslanadi, ularga ko‘ra inson, uning hayoti, erkinligi, sha’ni, qadr-qimmati va boshqa ajralmas huquqlari oliy qadriyat hisoblanadi. Demokratik huquq va erkinliklar Konstitutsiya va qonunlar bilan himoya qilinadi. 14-modda. Davlat o‘z faoliyatini inson farovonligini va jamiyatning barqaror rivojlanishini ta’minlash maqsadida qonuniylik, ijtimoiy adolat va birdamlik prinsiplari asosida amalga oshiradi. 15-modda. O‘zbekiston Respublikasida O‘zbekiston Respublikasi Konstitutsiyasi va qonunlarining ustunligi so‘zsiz tan olinadi. O‘zbekiston Respublikasi Konstitutsiyasi mamlakatning butun hududida oliy yuridik kuchga ega, to‘g‘ridan-to‘g‘ri amal qiladi va yagona huquqiy makonning asosini tashkil etadi. O‘zbekiston Respublikasining xalqaro shartnomalari xalqaro huquqning umume’tirof etilgan prinsip va normalari bilan bir qatorda O‘zbekiston Respublikasi huquqiy tizimining tarkibiy qismidir. Agar O‘zbekiston Respublikasining xalqaro shartnomasida O‘zbekiston Respublikasining qonunida nazarda tutilganidan boshqacha qoidalar belgilangan bo‘lsa, O‘zbekiston Respublikasining xalqaro shartnomasi qoidalari qo‘llaniladi. Davlat va uning organlari, boshqa tashkilotlar, mansabdor shaxslar, fuqarolik jamiyati institutlari hamda fuqarolar Konstitutsiya va qonunlarga muvofiq ish yuritadilar. 16-modda. Ushbu Konstitutsiyaning birorta qoidasi O‘zbekiston Respublikasining huquq va manfaatlariga, ushbu Konstitutsiyaning birinchi bo‘limida nazarda tutilgan asosiy prinsip va normalarga zarar yetkazadigan tarzda talqin etilishi mumkin emas."
6445145,6445251,O‘zbekiston Respublikasining qonunlari va boshqa normativ-huquqiy hujjatlari O‘zbekiston Respublikasining Konstitutsiyasi asosida va uni ijro etish yuzasidan qabul qilinadi. Birorta qonun yoki boshqa normativ-huquqiy hujjat Konstitutsiyaning prinsip va normalariga zid bo‘lishi mumkin emas. 17-modda. O‘zbekiston Respublikasi xalqaro munosabatlarning to‘la huquqli subyektidir.
6445145,6445358,"O‘zbekistonning tashqi siyosati davlatlarning suveren tengligi, kuch ishlatmaslik yoki kuch bilan tahdid qilmaslik, chegaralarning buzilmasligi, davlatlarning hududiy yaxlitligi, nizolarni tinch yo‘l bilan hal etish, boshqa davlatlarning ichki ishlariga aralashmaslik prinsiplariga hamda xalqaro huquqning umume’tirof etilgan boshqa prinsip va normalariga asoslanadi. 18-modda. O‘zbekiston Respublikasi davlatlar va xalqaro tashkilotlar bilan ikki va ko‘p tomonlama munosabatlarni har taraflama rivojlantirishga qaratilgan tinchliksevar tashqi siyosatni amalga oshiradi. O‘zbekiston Respublikasi davlatning, xalqning oliy manfaatlaridan, uning farovonligi va xavfsizligidan kelib chiqqan holda ittifoqlar tuzishi, hamdo‘stliklarga va boshqa davlatlararo tuzilmalarga kirishi hamda ulardan chiqishi mumkin."
6445145,6445365,"19-modda. O‘zbekiston Respublikasida insonning huquq va erkinliklari xalqaro huquqning umume’tirof etilgan normalariga binoan hamda ushbu Konstitutsiyaga muvofiq e’tirof etiladi va kafolatlanadi. Inson huquq va erkinliklari har kimga tug‘ilganidan boshlab tegishli bo‘ladi. O‘zbekiston Respublikasida barcha fuqarolar bir xil huquq va erkinliklarga ega bo‘lib, jinsi, irqi, millati, tili, dini, e’tiqodi, ijtimoiy kelib chiqishi, ijtimoiy mavqeyidan qat’i nazar, qonun oldida tengdirlar. Imtiyozlar faqat qonunga muvofiq belgilanadi va ijtimoiy adolat prinsiplariga mos bo‘lishi shart. 20-modda. O‘zbekiston Respublikasi fuqarosi va davlat bir-biriga nisbatan o‘zaro huquq va majburiyatlar bilan bog‘liqdir. Insonning Konstitutsiya va qonunlarda mustahkamlab qo‘yilgan huquq va erkinliklari daxlsizdir hamda ulardan sud qarorisiz mahrum etishga yoki ularni cheklab qo‘yishga hech kim haqli emas. Insonning huquq va erkinliklari bevosita amal qiladi. Insonning huquq va erkinliklari qonunlarning, davlat organlari, fuqarolarning o‘zini o‘zi boshqarish organlari, ularning mansabdor shaxslari faoliyatining mohiyati va mazmunini belgilaydi. Davlat organlari tomonidan insonga nisbatan qo‘llaniladigan huquqiy ta’sir choralari mutanosiblik prinsipiga asoslanishi va qonunlarda nazarda tutilgan maqsadlarga erishish uchun yetarli bo‘lishi kerak. Inson bilan davlat organlarining o‘zaro munosabatlarida yuzaga keladigan qonunchilikdagi barcha ziddiyatlar va noaniqliklar inson foydasiga talqin etiladi. 21-modda. Har bir inson o‘z shaxsini erkin kamol toptirish huquqiga ega. Hech kimga uning roziligisiz qonunchilikda belgilanmagan majburiyat yuklatilishi mumkin emas. Inson o‘z huquq va erkinliklarini amalga oshirishda boshqa shaxslarning, jamiyat hamda davlatning huquqlari, erkinliklari va qonuniy manfaatlariga putur yetkazmasligi shart."
6445145,6445387,"Insonning huquq va erkinliklari faqat qonunga muvofiq va faqat konstitutsiyaviy tuzumni, aholining sog‘lig‘ini, ijtimoiy axloqni, boshqa shaxslarning huquq va erkinliklarini himoya qilish, jamoat xavfsizligini hamda jamoat tartibini ta’minlash maqsadida zarur bo‘lgan doirada cheklanishi mumkin. 22-modda. O‘zbekiston Respublikasining butun hududida yagona fuqarolik o‘rnatiladi. O‘zbekiston Respublikasining fuqaroligi, unga qanday asoslarda ega bo‘lganlikdan qat’i nazar, hamma uchun tengdir. Qoraqalpog‘iston Respublikasining fuqarosi ayni vaqtda O‘zbekiston Respublikasining fuqarosi hisoblanadi. Fuqarolikka ega bo‘lish va uni yo‘qotish asoslari hamda tartibi qonun bilan belgilanadi. 23-modda. O‘zbekiston Respublikasi o‘z hududida ham, uning tashqarisida ham o‘z fuqarolarini himoya qilish va ularga homiylik ko‘rsatishni kafolatlaydi. O‘zbekiston Respublikasi fuqarosi O‘zbekistondan tashqariga majburiy chiqarib yuborilishi yoki boshqa davlatga berib yuborilishi mumkin emas. Davlat xorijda yashayotgan vatandoshlar bilan aloqalarni saqlab qolish hamda rivojlantirish to‘g‘risida xalqaro huquq normalariga muvofiq g‘amxo‘rlik qiladi."
6445145,6445418,"24-modda. O‘zbekiston Respublikasi hududidagi chet el fuqarolarining va fuqaroligi bo‘lmagan shaxslarning huquq va erkinliklari xalqaro huquq normalariga muvofiq ta’minlanadi. Ular O‘zbekiston Respublikasining Konstitutsiyasi, qonunlari va xalqaro shartnomalari bilan belgilangan burchlarni ado etadilar. 25-modda. Yashash huquqi har bir insonning ajralmas huquqidir va u qonun bilan muhofaza qilinadi. Inson hayotiga suiqasd qilish eng og‘ir jinoyatdir. O‘zbekiston Respublikasida o‘lim jazosi taqiqlanadi. 26-modda. Insonning sha’ni va qadr-qimmati daxlsizdir. Hech narsa ularni kamsitish uchun asos bo‘lishi mumkin emas. Hech kim qiynoqqa solinishi, zo‘ravonlikka, boshqa shafqatsiz, g‘ayriinsoniy yoki inson qadr-qimmatini kamsituvchi muomalaga yoxud jazoga duchor etilishi mumkin emas. Hech kimda uning roziligisiz tibbiy va ilmiy tajribalar o‘tkazilishi mumkin emas. 27-modda. Har kim erkinlik va shaxsiy daxlsizlik huquqiga ega. Hech kim qonunga asoslanmagan holda hibsga olinishi, ushlab turilishi, qamoqqa olinishi, qamoqda saqlanishi yoki uning ozodligi boshqacha tarzda cheklanishi mumkin emas. Hibsga olishga, qamoqqa olishga va qamoqda saqlashga faqat sudning qaroriga ko‘ra yo‘l qo‘yiladi. Shaxs sudning qarorisiz qirq sakkiz soatdan ortiq muddat ushlab turilishi mumkin emas. Shaxsni ushlash chog‘ida unga tushunarli tilda uning huquqlari va ushlab turilishi asoslari tushuntirilishi shart."
6445145,6445510,"28-modda. Jinoyat sodir etganlikda ayblanayotgan shaxs uning aybi qonunda nazarda tutilgan tartibda oshkora sud muhokamasi yo‘li bilan isbotlanmaguncha va sudning qonuniy kuchga kirgan hukmi bilan aniqlanmaguncha aybsiz deb hisoblanadi. Ayblanuvchiga o‘zini himoya qilish uchun barcha imkoniyatlar ta’minlanadi. Aybdorlikka oid barcha shubhalar, agar ularni bartaraf etish imkoniyatlari tugagan bo‘lsa, gumon qilinuvchining, ayblanuvchining, sudlanuvchining yoki mahkumning foydasiga hal qilinishi kerak. Gumon qilinuvchi, ayblanuvchi yoki sudlanuvchi o‘zining aybsizligini isbotlashi shart emas va istalgan vaqtda sukut saqlash huquqidan foydalanishi mumkin. Hech kim o‘ziga va yaqin qarindoshlariga qarshi guvohlik berishga majbur emas. Agar shaxsning o‘z aybini tan olganligi unga qarshi yagona dalil bo‘lsa, u aybdor deb topilishi yoki jazoga tortilishi mumkin emas. Ozodlikdan mahrum etilgan shaxslar o‘ziga nisbatan insoniy muomalada bo‘linishi hamda inson shaxsiga xos bo‘lgan sha’ni va qadr-qimmati hurmat qilinishi huquqiga ega. Shaxsning sudlanganligi va bundan kelib chiqadigan huquqiy oqibatlar uning qarindoshlari huquqlarini cheklash uchun asos bo‘lishi mumkin emas. 29-modda. Har kimga malakali yuridik yordam olish huquqi kafolatlanadi. Qonunda nazarda tutilgan hollarda yuridik yordam davlat hisobidan ko‘rsatiladi. Har bir shaxs jinoyat protsessining har qanday bosqichida, shaxs ushlanganida esa uning harakatlanish erkinligi huquqi amalda cheklangan paytdan e’tiboran o‘z tanloviga ko‘ra advokat yordamidan foydalanish huquqiga ega. Gumon qilinuvchi, ayblanuvchi yoki sudlanuvchi ayblovning mohiyati va asoslari to‘g‘risida xabardor qilinish, unga qarshi yoki uning foydasiga guvohlik berayotgan shaxslarning so‘roq qilinishini talab etish, tarjimon yordamidan foydalanish huquqiga ega. Qonunni buzgan holda olingan dalillardan odil sudlovni amalga oshirish chog‘ida foydalanishga yo‘l qo‘yilmaydi. Jinoyat uchun hukm qilingan har kim qonunda belgilangan tartibda hukmning yuqori turuvchi sud tomonidan qayta ko‘rib chiqilishi huquqiga, shuningdek afv etish yoki jazoni yengillashtirish to‘g‘risida iltimos qilish huquqiga ega. Huquqbuzarliklardan jabrlanganlarning huquqlari qonun bilan muhofaza qilinadi. Davlat jabrlanganlarga himoyalanishni va odil sudlovdan foydalanishni ta’minlaydi, ularga yetkazilgan zararning o‘rni qoplanishi uchun shart-sharoitlar yaratadi. 30-modda. Hech kim rasmiy e’lon qilinmagan qonun asosida hukm qilinishi, jazoga tortilishi, mol-mulkidan yoki biron-bir huquqidan mahrum etilishi mumkin emas. Hech kim ayni bir jinoyat uchun takroran hukm qilinishi mumkin emas. 31-modda. Har bir inson shaxsiy hayotining daxlsizligi, shaxsiy va oilaviy sirga ega bo‘lish, o‘z sha’ni va qadr-qimmatini himoya qilish huquqiga ega. Har kim yozishmalari, telefon orqali so‘zlashuvlari, pochta, elektron va boshqa xabarlari sir saqlanishi huquqiga ega. Ushbu huquqning cheklanishiga faqat qonunga muvofiq va sudning qaroriga asosan yo‘l qo‘yiladi."
6445145,6445534,"Har kim o‘z shaxsiga doir ma’lumotlarning himoya qilinishi huquqiga, shuningdek noto‘g‘ri ma’lumotlarning tuzatilishini, o‘zi to‘g‘risida qonunga xilof yo‘l bilan to‘plangan yoki huquqiy asoslarga ega bo‘lmay qolgan ma’lumotlarning yo‘q qilinishini talab qilish huquqiga ega. Har kim uy-joy daxlsizligi huquqiga ega."
6445145,6445537,"Hech kim uy-joyga unda yashovchi shaxslarning xohishiga qarshi kirishi mumkin emas. Uy-joyga kirishga, shuningdek unda olib qo‘yishni va ko‘zdan kechirishni o‘tkazishga faqat qonunda nazarda tutilgan hollarda va tartibda yo‘l qo‘yiladi. Uy-joyda tintuv o‘tkazishga faqat qonunga muvofiq va sudning qaroriga asosan yo‘l qo‘yiladi. 32-modda. Qonuniy asoslarda O‘zbekiston Respublikasi hududida bo‘lib turgan har kim mamlakat bo‘ylab erkin harakatlanish, turar va yashash joyini tanlash huquqiga ega, bundan qonunda belgilangan cheklovlar mustasno. Har kim O‘zbekistondan tashqariga erkin chiqish huquqiga ega, bundan qonunda belgilangan cheklovlar mustasno. O‘zbekiston Respublikasi fuqarosi O‘zbekistonga to‘sqinliksiz qaytish huquqiga ega. 33-modda. Har kim fikrlash, so‘z va e’tiqod erkinligi huquqiga ega. Har kim istalgan axborotni izlash, olish va tarqatish huquqiga ega. Davlat Internet jahon axborot tarmog‘idan foydalanishni ta’minlash uchun shart-sharoitlar yaratadi."
